#             z_(m)            V_(m/s)              T_(K)        rho_(kg/m3)               Y_CO              Y_CO2             Y_C2H2                S_0                S_1 
   0.0000000000e+00   7.0808234805e-02   2.9800000000e+02   1.1650027056e+00   2.5168345025e-02   3.6614284410e-03   1.2840471757e-03   6.8239866046e+08   1.4232964153e-15
   1.8750000000e-04   1.0343868372e-01   4.3079205882e+02   8.0300124720e-01   3.6805613448e-02   5.8547861379e-03   2.0120398468e-03   1.7521939980e+09   3.6545792634e-15
   3.7500000000e-04   1.4044087407e-01   5.7871235294e+02   5.9547028062e-01   5.0873440687e-02   8.6885976470e-03   2.9377927571e-03   4.7302849282e+09   9.8664795847e-15
   4.6875000000e-04   1.6049023236e-01   6.5750868421e+02   5.2298890978e-01   5.9505503835e-02   1.0509488284e-02   3.5261425438e-03   1.2323080644e+10   2.5706618725e-14
   5.6250000000e-04   1.8178700044e-01   7.4041142857e+02   4.6341515540e-01   6.8952165052e-02   1.2567751980e-02   4.1861246942e-03   3.6533459802e+10   7.6233452720e-14
   6.5625000000e-04   2.0386403266e-01   8.2542500000e+02   4.1475899638e-01   7.9248204995e-02   1.4879626590e-02   4.9226688850e-03   1.1182164608e+11   2.3377508773e-13
   7.0312500000e-04   2.1524639124e-01   8.6884055556e+02   3.9357743803e-01   8.4865010991e-02   1.6168351671e-02   5.3324542371e-03   2.5491049842e+11   5.3798409548e-13
   7.5000000000e-04   2.2699097324e-01   9.1342500000e+02   3.7393162280e-01   9.0704077744e-02   1.7527388039e-02   5.7654361099e-03   6.1609705417e+11   1.3248972828e-12
   7.9687500000e-04   2.3875136444e-01   9.5777312500e+02   3.5620145817e-01   9.6752986273e-02   1.8953130407e-02   6.2238342027e-03   1.4861426841e+12   3.2835261899e-12
   8.4375000000e-04   2.5064700232e-01   1.0023660000e+03   3.3995741848e-01   1.0297572434e-01   2.0434518549e-02   6.7110332276e-03   3.4087590644e+12   7.8536129093e-12
   8.9062500000e-04   2.6277747892e-01   1.0476107500e+03   3.2489596418e-01   1.0930634881e-01   2.1951715385e-02   7.2324898268e-03   7.2604223218e+12   1.7752952024e-11
   9.3750000000e-04   2.7491034762e-01   1.0926034000e+03   3.1115647481e-01   1.1565243477e-01   2.3478833399e-02   7.7966066681e-03   1.4338572324e+13   3.8182243186e-11
   9.8437500000e-04   2.8719748229e-01   1.1379936413e+03   2.9840592997e-01   1.2189015726e-01   2.4984922469e-02   8.4136280336e-03   2.5598522474e+13   7.6434903354e-11
   1.0312500000e-03   2.9832960335e-01   1.1786537500e+03   2.8779314836e-01   1.2790247650e-01   2.6443808247e-02   9.0973227573e-03   4.3731740871e+13   1.5611103110e-10
   1.0781250000e-03   3.0998250721e-01   1.2213006250e+03   2.7745031143e-01   1.3354072572e-01   2.7824103373e-02   9.8569326869e-03   6.7424192543e+13   3.0080418723e-10
   1.1250000000e-03   3.2078357374e-01   1.2605866667e+03   2.6853661011e-01   1.3870215110e-01   2.9106615362e-02   1.0700174270e-02   9.9144828282e+13   6.1402195074e-10
   1.2187500000e-03   3.4097650284e-01   1.3339312500e+03   2.5332972222e-01   1.4727058035e-01   3.1314895755e-02   1.2606338652e-02   1.7432421583e+14   1.8268745912e-09
   1.3125000000e-03   3.5824289548e-01   1.3963962500e+03   2.4165512533e-01   1.5366977589e-01   3.3115865400e-02   1.4711082589e-02   2.6196800841e+14   4.2512966936e-09
   1.4062500000e-03   3.7215147072e-01   1.4464531250e+03   2.3303552796e-01   1.5828555513e-01   3.4594660876e-02   1.6816184633e-02   3.5111127107e+14   8.6433978879e-09
   1.5000000000e-03   3.8250287212e-01   1.4833466667e+03   2.2705261701e-01   1.6159452165e-01   3.5837444647e-02   1.8757372909e-02   4.2751374255e+14   1.6669645040e-08
   1.6875000000e-03   3.9682832748e-01   1.5342445000e+03   2.1931202358e-01   1.6545398526e-01   3.7793917902e-02   2.1886119019e-02   5.3661740621e+14   5.0783621333e-08
   1.8750000000e-03   4.0603164412e-01   1.5668350000e+03   2.1466285049e-01   1.6758983038e-01   3.9355994140e-02   2.4069175994e-02   6.0636578557e+14   1.1541287642e-07
   2.2500000000e-03   4.1601062204e-01   1.6023500000e+03   2.0992102581e-01   1.6927773442e-01   4.1686994223e-02   2.6345225525e-02   6.5472929540e+14   4.4009469762e-07
   3.0000000000e-03   4.2401399200e-01   1.6314700000e+03   2.0639095370e-01   1.6971924599e-01   4.4738486101e-02   2.7644417738e-02   6.4508698063e+14   2.4904827797e-06
   3.7500000000e-03   4.2667369730e-01   1.6412800000e+03   2.0537130187e-01   1.6946957334e-01   4.6835218492e-02   2.7968340544e-02   6.2031406852e+14   6.2906610572e-06
   4.5000000000e-03   4.2728381665e-01   1.6435522222e+03   2.0526773639e-01   1.6908742273e-01   4.8377434753e-02   2.8023670022e-02   5.9097945078e+14   1.2054475736e-05
   6.0000000000e-03   4.2577943872e-01   1.6379400000e+03   2.0623660052e-01   1.6835420210e-01   5.0421811773e-02   2.7897413028e-02   5.2719403423e+14   3.3142693074e-05
